time,instance,orders,time,averager_per_truck
2024-04-11.15:00:11,./INPUT/05.txt,167,668491,8.35
2024-04-11.15:00:16,./INPUT/05.txt,174,667930,8.70
2024-04-11.15:00:21,./INPUT/05.txt,168,681840,8.40
2024-04-11.15:00:26,./INPUT/05.txt,169,671948,8.45
2024-04-11.15:00:31,./INPUT/05.txt,169,671986,8.45
2024-04-11.15:04:47,./INPUT/05.txt,170,685681,8.50
2024-04-11.15:04:54,./INPUT/05.txt,170,683833,8.50
2024-04-11.15:05:00,./INPUT/05.txt,168,670975,8.40
2024-04-11.15:05:02,./INPUT/05.txt,172,681984,8.60
2024-04-11.15:05:07,./INPUT/05.txt,171,680990,8.55
2024-04-11.15:11:03,./INPUT/05.txt,167,679954,8.35
2024-04-11.15:11:08,./INPUT/05.txt,168,679807,8.40
2024-04-11.15:11:13,./INPUT/05.txt,172,669797,8.60
2024-04-11.15:11:18,./INPUT/05.txt,168,661991,8.40
2024-04-11.15:11:23,./INPUT/05.txt,167,670998,8.35
2024-04-11.15:11:28,./INPUT/05.txt,168,681622,8.40
2024-04-11.15:11:33,./INPUT/05.txt,168,676513,8.40
2024-04-11.15:11:38,./INPUT/05.txt,166,666951,8.30
2024-04-11.15:11:43,./INPUT/05.txt,168,671367,8.40
2024-04-11.15:11:48,./INPUT/05.txt,167,675933,8.35
2024-04-11.15:16:04,./INPUT/05.txt,171,672922,8.55
2024-04-11.15:16:10,./INPUT/05.txt,168,685802,8.40
2024-04-11.15:16:15,./INPUT/05.txt,171,684034,8.55
2024-04-11.15:16:21,./INPUT/05.txt,168,673647,8.40
2024-04-11.15:16:24,./INPUT/05.txt,169,678870,8.45
2024-04-11.15:16:31,./INPUT/05.txt,168,669824,8.40
2024-04-11.15:16:35,./INPUT/05.txt,172,679455,8.60
2024-04-11.15:16:39,./INPUT/05.txt,171,673851,8.55
2024-04-11.15:16:45,./INPUT/05.txt,168,678933,8.40
2024-04-11.15:16:50,./INPUT/05.txt,172,685788,8.60
2024-04-11.15:21:05,./INPUT/05.txt,166,667349,8.30
2024-04-11.15:21:13,./INPUT/05.txt,167,685303,8.35
2024-04-11.15:21:18,./INPUT/05.txt,170,673570,8.50
2024-04-11.15:21:25,./INPUT/05.txt,167,655259,8.35
2024-04-11.15:21:27,./INPUT/05.txt,173,670688,8.65
2024-04-11.15:21:34,./INPUT/05.txt,169,673922,8.45
2024-04-11.15:21:38,./INPUT/05.txt,168,680261,8.40
2024-04-11.15:21:40,./INPUT/05.txt,167,679998,8.35
2024-04-11.15:21:47,./INPUT/05.txt,170,670978,8.50
2024-04-11.15:21:52,./INPUT/05.txt,167,671647,8.35
2024-04-11.15:34:56,./INPUT/05.txt,172,680995,8.60
2024-04-11.15:35:01,./INPUT/05.txt,172,674970,8.60
2024-04-11.15:35:06,./INPUT/05.txt,170,676728,8.50
2024-04-11.15:35:11,./INPUT/05.txt,171,677513,8.55
2024-04-11.15:35:16,./INPUT/05.txt,172,667903,8.60
2024-04-11.15:35:21,./INPUT/05.txt,173,690930,8.65
2024-04-11.15:35:26,./INPUT/05.txt,169,666702,8.45
2024-04-11.15:35:31,./INPUT/05.txt,174,670956,8.70
2024-04-11.15:35:36,./INPUT/05.txt,173,679944,8.65
2024-04-11.15:35:41,./INPUT/05.txt,172,681952,8.60
2024-04-11.15:40:01,./INPUT/05.txt,166,666989,8.30
2024-04-11.15:40:03,./INPUT/05.txt,177,677870,8.85
2024-04-11.15:40:07,./INPUT/05.txt,171,671888,8.55
2024-04-11.15:40:15,./INPUT/05.txt,173,663944,8.65
2024-04-11.15:40:16,./INPUT/05.txt,166,674779,8.30
2024-04-11.15:40:23,./INPUT/05.txt,172,678258,8.60
2024-04-11.15:40:27,./INPUT/05.txt,173,678926,8.65
2024-04-11.15:40:33,./INPUT/05.txt,169,683838,8.45
2024-04-11.15:40:40,./INPUT/05.txt,169,668935,8.45
2024-04-11.15:40:43,./INPUT/05.txt,175,674925,8.75
2024-04-11.15:45:04,./INPUT/05.txt,169,674944,8.45
2024-04-11.15:45:06,./INPUT/05.txt,171,682979,8.55
